2023-12-18;21:10:21;ncalls;tottime;percall;cumtime;percall;filename:lineno(function)
2023-12-18;21:10:21;2;0.000;0.000;0.001;0.000;<__array_function__;internals>:177(all)
2023-12-18;21:10:21;1;0.000;0.000;0.000;0.000;<__array_function__;internals>:177(amax)
2023-12-18;21:10:21;10;0.000;0.000;0.001;0.000;<__array_function__;internals>:177(append)
2023-12-18;21:10:21;2;0.000;0.000;0.000;0.000;<__array_function__;internals>:177(argsort)
2023-12-18;21:10:21;2;0.000;0.000;0.002;0.001;<__array_function__;internals>:177(array_equal)
2023-12-18;21:10:21;2;0.000;0.000;0.000;0.000;<__array_function__;internals>:177(atleast_2d)
2023-12-18;21:10:21;5;0.000;0.000;0.000;0.000;<__array_function__;internals>:177(bincount)
2023-12-18;21:10:21;1;0.000;0.000;0.000;0.000;<__array_function__;internals>:177(can_cast)
2023-12-18;21:10:21;30;0.000;0.000;1.711;0.057;<__array_function__;internals>:177(concatenate)
2023-12-18;21:10:21;66;0.000;0.000;0.008;0.000;<__array_function__;internals>:177(copyto)
2023-12-18;21:10:21;2;0.000;0.000;0.000;0.000;<__array_function__;internals>:177(delete)
2023-12-18;21:10:21;5;0.000;0.000;0.002;0.000;<__array_function__;internals>:177(insert)
2023-12-18;21:10:21;5;0.001;0.000;0.001;0.000;<__array_function__;internals>:177(moveaxis)
2023-12-18;21:10:21;3;0.000;0.000;0.000;0.000;<__array_function__;internals>:177(prod)
2023-12-18;21:10:21;2;0.000;0.000;0.088;0.044;<__array_function__;internals>:177(putmask)
2023-12-18;21:10:21;10;0.000;0.000;0.000;0.000;<__array_function__;internals>:177(ravel)
2023-12-18;21:10:21;14;0.000;0.000;0.000;0.000;<__array_function__;internals>:177(result_type)
2023-12-18;21:10:21;1;0.000;0.000;0.000;0.000;<__array_function__;internals>:177(sort)
2023-12-18;21:10:21;2;0.000;0.000;0.028;0.014;<__array_function__;internals>:177(vstack)
2023-12-18;21:10:21;7;0.000;0.000;0.001;0.000;<frozen;importlib._bootstrap>:1002(_gcd_import)
2023-12-18;21:10:21;1611;0.004;0.000;0.006;0.000;<frozen;importlib._bootstrap>:1017(_handle_fromlist)
2023-12-18;21:10:21;18;0.000;0.000;0.000;0.000;<frozen;importlib._bootstrap>:103(release)
